Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:369: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 15379 | step: 59600 | reward: -2.2816 | episode length: 4.081632653061225
episode: 15428 | step: 59800 | reward: -2.6327 | episode length: 4.040816326530612
episode: 15473 | step: 60000 | reward: -2.2856 | episode length: 4.466666666666667
episode: 15525 | step: 60200 | reward: -2.1952 | episode length: 3.8653846153846154
episode: 15579 | step: 60400 | reward: -2.2343 | episode length: 3.7037037037037037
episode: 15629 | step: 60600 | reward: -1.9210 | episode length: 4.0
episode: 15680 | step: 60800 | reward: -2.5451 | episode length: 3.9411764705882355
episode: 15739 | step: 61000 | reward: -2.5788 | episode length: 3.389830508474576
episode: 15788 | step: 61200 | reward: -2.0949 | episode length: 4.1020408163265305
episode: 15833 | step: 61400 | reward: -2.3356 | episode length: 4.444444444444445
episode: 15884 | step: 61600 | reward: -2.5402 | episode length: 3.9019607843137254
episode: 15937 | step: 61800 | reward: -2.6066 | episode length: 3.7735849056603774
episode: 15988 | step: 62000 | reward: -2.6186 | episode length: 3.9019607843137254
episode: 16039 | step: 62200 | reward: -1.9971 | episode length: 3.843137254901961
episode: 16092 | step: 62400 | reward: -2.0255 | episode length: 3.849056603773585
episode: 16152 | step: 62600 | reward: -2.3033 | episode length: 3.35
episode: 16202 | step: 62800 | reward: -2.1580 | episode length: 4.02
episode: 16252 | step: 63000 | reward: -2.5960 | episode length: 3.88
episode: 16304 | step: 63200 | reward: -2.3308 | episode length: 3.9615384615384617
episode: 16357 | step: 63400 | reward: -2.4528 | episode length: 3.7547169811320753
episode: 16409 | step: 63600 | reward: -2.2875 | episode length: 3.8653846153846154
episode: 16462 | step: 63800 | reward: -2.5462 | episode length: 3.7547169811320753
episode: 16514 | step: 64000 | reward: -2.5875 | episode length: 3.8653846153846154
episode: 16566 | step: 64200 | reward: -2.2413 | episode length: 3.8076923076923075
episode: 16616 | step: 64400 | reward: -2.5970 | episode length: 3.98
episode: 16668 | step: 64600 | reward: -2.1808 | episode length: 3.8846153846153846
episode: 16722 | step: 64800 | reward: -2.4222 | episode length: 3.7222222222222223
episode: 16771 | step: 65000 | reward: -2.6194 | episode length: 4.020408163265306
episode: 16817 | step: 65200 | reward: -2.3598 | episode length: 4.304347826086956
